fleet,autobus_a,autobus_b,camioneta_a,camioneta_b,total_cost,avg_wait,median_wait,max_wait,avg_queue,max_queue,passengers_served,std_avg_wait,std_avg_queue,min_avg_wait,max_avg_wait
"1 Camioneta A, 1 Camioneta B",0,0,1,1,719.2,10.417815510884097,9.051648878559874,34.299166055590604,6.816699962084083,22.72,428.02,0.7377010193717783,0.4488518518003777,8.714808620901485,12.402330659331547
"1 Autobús A, 1 Camioneta B",1,0,0,1,840.6,11.65808597082203,10.3395547644721,40.099562319991435,7.974140034461457,23.04,423.92,1.1308331265035605,0.5330615751749703,9.906880819526595,16.750982378225494
"1 Autobús B, 1 Camioneta A, 1 Camioneta B",0,1,1,1,974.8,9.298628211469005,7.996062020196036,32.304527400854546,5.718659516110172,21.36,426.68,0.7015032475730325,0.3243695454686437,7.910113276276626,10.878699428538944
"1 Camioneta A, 2 Camioneta B",0,0,1,2,1091.2,7.8961263456619255,6.288778372354946,32.48194619437892,4.328636481863158,19.42,428.12,0.585304648299008,0.24850792854740192,6.602004930182173,8.873580982285464
"1 Autobús A, 1 Autobús B, 1 Camioneta B",1,1,0,1,1096.2,10.54112880669571,8.836624458412064,41.9311865626753,6.62208386325537,22.58,425.08,1.1447727830656622,0.5235390736169604,8.929126796163352,14.025608595685242
"1 Autobús A, 1 Camioneta A, 1 Camioneta B",1,0,1,1,1187.8,8.231029770969744,6.842402270987008,30.72764905063831,5.079965491925558,19.32,429.86,0.7061865767982419,0.27994720432857373,6.835182407633674,10.087546803984516
"1 Autobús A, 2 Camioneta B",1,0,0,2,1212.6,8.29781699466452,6.62314880287985,32.89140886634558,4.710747979037041,19.4,421.26,0.767621931991079,0.24891695093811372,6.950094020981219,10.784490233402424
"2 Autobús B, 1 Camioneta A, 1 Camioneta B",0,2,1,1,1230.4,8.741219853386008,7.240560921808235,32.5795426680559,4.960303848965125,22.3,421.96,0.6059696886721223,0.292596399025689,7.70856926115467,10.010916977636628
"1 Autobús B, 1 Camioneta A, 2 Camioneta B",0,1,1,2,1346.8,7.291983464365092,5.732381421663032,32.80600351529804,3.872910256546654,18.98,424.88,0.6660873726282436,0.18804005028487772,6.2687590043879995,8.797456922031431
"1 Autobús A, 2 Autobús B, 1 Camioneta B",1,2,0,1,1351.8000000000002,9.62140823944598,7.966387008284102,39.26644512269721,5.5493809576573,20.82,423.22,0.9866415634616209,0.3336592166222766,7.51165923140921,12.62665395332289
"1 Autobús A, 1 Autobús B, 1 Camioneta A, 1 Camioneta B",1,1,1,1,1443.4,7.629298611777233,6.295454945602476,29.97064170795572,4.437970759506654,18.76,425.0,0.7809146270355464,0.27751803245200685,6.256243120644738,9.862256533154715
"1 Camioneta A, 3 Camioneta B",0,0,1,3,1463.2,6.497329133038539,4.8726271356934605,32.02944387941871,3.1618565294173187,17.28,423.22,0.5799817771213559,0.18193352161431126,5.2833099142282025,8.07072070023353
"1 Autobús A, 1 Autobús B, 2 Camioneta B",1,1,0,2,1468.2,7.616662771646958,6.028130691189886,33.05875708015943,4.276588747901119,18.8,427.94,0.6860798247780949,0.2760214635865595,6.212799995204115,9.283989047776046
"1 Autobús A, 1 Camioneta A, 2 Camioneta B",1,0,1,2,1559.8,6.569555558470556,5.195189030327153,29.096345693259266,3.5895980025304017,17.0,429.5,0.4716608015830731,0.20813578306374372,5.619959044863545,7.7863392849373625
"1 Autobús A, 3 Camioneta B",1,0,0,3,1584.6,6.661113208997886,5.073560905443414,32.45711369108549,3.382037651744789,17.8,423.94,0.46727843451676443,0.1901544340241097,5.362778445316049,8.073258540974042
"2 Autobús B, 1 Camioneta A, 2 Camioneta B",0,2,1,2,1602.4,6.969644229884645,5.366780869189963,32.107456434033686,3.5132460841184656,18.72,424.28,0.6728309337069365,0.21834470762851715,5.4913800923093286,8.605741559533804
"1 Autobús A, 2 Autobús B, 1 Camioneta A, 1 Camioneta B",1,2,1,1,1699.0,7.139308079801287,5.766018053137206,29.885747556333417,3.9737489742794656,17.68,426.26,0.55648772802031,0.17400436163229158,5.908119396743067,8.387212334043166
"1 Autobús B, 1 Camioneta A, 3 Camioneta B",0,1,1,3,1718.8,6.031249012596402,4.475002141175885,31.11759795384796,2.921759502141019,17.22,426.06,0.4512529196657984,0.1541679157617061,5.29544397924268,7.441310929765243
"1 Autobús A, 2 Autobús B, 2 Camioneta B",1,2,0,2,1723.8000000000002,7.154175635842007,5.653186590622601,31.420386976789914,3.7951475381369835,18.84,426.82,0.5899838485625457,0.21342485694703212,6.042452818748939,8.549670076653454
"1 Autobús A, 1 Autobús B, 1 Camioneta A, 2 Camioneta B",1,1,1,2,1815.4,6.070802174823223,4.734764845337067,28.777209310264144,3.224109773293827,16.48,425.82,0.5693797066950568,0.1430077271581313,5.092251685437791,7.6146674017297595
"1 Autobús A, 1 Autobús B, 3 Camioneta B",1,1,0,3,1840.2,6.191649025559986,4.664629707633725,31.585319161550792,3.1338920238837655,17.24,427.18,0.48533398023185054,0.19517071650958295,5.350303039709842,7.453999621403963
"1 Autobús A, 1 Camioneta A, 3 Camioneta B",1,0,1,3,1931.8,5.576963039013858,4.186562572128484,28.48163361183263,2.7317750960411997,15.46,424.58,0.43133438303219834,0.1585275486825602,4.789596607619883,6.7830858923089945
"2 Autobús B, 1 Camioneta A, 3 Camioneta B",0,2,1,3,1974.4,5.801461508162024,4.25292292303941,31.25469423929326,2.71293875753444,16.36,424.64,0.4559214189655841,0.1684104577314023,4.648695102292266,6.711464457912243
"1 Autobús A, 2 Autobús B, 1 Camioneta A, 2 Camioneta B",1,2,1,2,2071.0,5.908634550742087,4.510281263091046,29.27433369962546,2.9639240321887432,16.7,420.68,0.37833021173652803,0.12997822423727903,5.016968865973322,6.605978858290237
"1 Autobús A, 2 Autobús B, 3 Camioneta B",1,2,0,3,2095.8,5.971338841589693,4.445141663911845,31.713576926488763,2.8710272709859277,16.64,422.2,0.536248735519376,0.16188675018478385,4.724144281927547,7.227165339137439
"1 Autobús A, 1 Autobús B, 1 Camioneta A, 3 Camioneta B",1,1,1,3,2187.4,5.27981676335369,3.892501109087707,28.78160456970896,2.5717979755661533,15.64,428.28,0.4968212932509776,0.14798099224592465,4.401153340555087,6.975512487029858
"1 Autobús A, 2 Autobús B, 1 Camioneta A, 3 Camioneta B",1,2,1,3,2443.0,5.039123115284195,3.673835819111779,27.630160903237293,2.392433923406434,14.86,424.56,0.3482994653891511,0.1094179413807523,4.2980105063781835,5.875961411016445
